Date,Description,Amount
2026-03-01,Whole Foods Market,-84.32
2026-03-02,Netflix Subscription,-15.99
2026-03-03,Direct Deposit Payroll,2500.00
2026-03-04,Shell Gas Station,-52.10
2026-03-05,Amazon Purchase,-34.99
2026-03-06,Starbucks Coffee,-6.75
2026-03-07,Rent Payment,-1400.00
2026-03-08,Spotify Premium,-9.99
2026-03-09,CVS Pharmacy,-22.48
2026-03-10,Chipotle Mexican Grill,-13.25
2026-03-11,Electric Bill Payment,-87.00
2026-03-12,ATM Withdrawal,-100.00
2026-03-13,Freelance Payment Received,750.00
